code,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region,subregion
MAR,Morocco,31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138,Africa,Northern Africa
MCO,Monaco,34872,35226,35612,36024,36460,36901,37322,37718,38070,38392,38682,Europe,Western Europe
MDA,Moldova,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,3545883,Europe,Eastern Europe
MDG,Madagascar,19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368,Africa,Eastern Africa
MDV,Maldives,343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696,Asia,Southern Asia
MEX,Mexico,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,Americas,Central America
MHL,Marshall Islands,56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413,Oceania,Micronesia
MLI,Mali,14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690,Africa,Western Africa
MLT,Malta,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,483530,Europe,Southern Europe
MNE,Montenegro,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622345,Europe,Southern Europe
MNG,Mongolia,2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208,Asia,Eastern Asia
MNP,Northern Mariana Islands,54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882,Oceania,Micronesia
MOZ,Mozambique,22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962,Africa,Eastern Africa
MRT,Mauritania,3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319,Africa,Western Africa
MUS,Mauritius,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,Africa,Eastern Africa
MWI,Malawi,13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315,Africa,Eastern Africa
MYS,Malaysia,27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585,Asia,South-Eastern Asia
NAM,Namibia,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255,Africa,Southern Africa
NCL,New Caledonia,242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060,Oceania,Melanesia
NER,Niger,15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948,Africa,Western Africa
NGA,Nigeria,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,Africa,Western Africa
NIC,Nicaragua,5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,Americas,Central America
NLD,Netherlands,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231017,Europe,Western Europe
NOR,Norway,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5314336,Europe,Northern Europe
NPL,Nepal,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871,Asia,Southern Asia
NRU,Nauru,9891,9939,10005,10057,10279,10821,11853,12475,13049,12876,12704,Oceania,Micronesia
NZL,New Zealand,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500,Oceania,Australia and New Zealand
OMN,Oman,2750963,2876186,3041434,3251108,3498029,3764805,4027260,4267348,4479219,4665935,4829483,Asia,Western Asia
PAK,Pakistan,171648986,175525609,179424641,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030,Asia,Southern Asia
PAN,Panama,3516204,3579215,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873,Americas,Central America
PER,Peru,28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,Americas,South America
PHL,Philippines,90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922,Asia,South-Eastern Asia
PLW,Palau,18704,18285,17955,17745,17640,17606,17626,17665,17725,17808,17907,Oceania,Micronesia
PNG,Papua New Guinea,6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316,Oceania,Melanesia
POL,Poland,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37978548,Europe,Eastern Europe
PRI,Puerto Rico,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153,Americas,Caribbean
